DienTich,Phongngu,PhongTam,GiayTo,Loai,HuongCuaChinh,TinhTrangNoiThat,DiaChi,Gia,SoTang,DacDiem
35 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hoàng Ngân, Phường Trung Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","4,7 tỷ - 35 m2",5,
30 m²,2 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","2,95 tỷ - 30 m2",4,
39.0998 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","4,3 tỷ - 39.0.998 m2",3,
70 m²,5 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Ngõ 444 đội cấn, Phường Cống Vị, Quận Ba Đình, Hà NộiXem bản đồ",13 tỷ - 70 m2,6,
47 m²,6 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Thuỵ Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà NộiXem bản đồ",5 tỷ - 47 m2,5,
34 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Đường Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,99 tỷ - 34 m2",5,
34 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Lê Trực, Phường Thổ Quan, Quận Đống Đa, Hà NộiXem bản đồ","2,8 tỷ - 34 m2",4,
35 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm, Hà NộiXem bản đồ","3,3 tỷ - 35 m2",5,
35 m²,2 phòng,1 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Vĩnh Quỳnh , Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà NộiXem bản đồ","1,59 tỷ - 35 m2",,
35 m²,2 phòng,1 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Vĩnh Quỳnh , Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà NộiXem bản đồ","1,59 tỷ - 35 m2",,
225 m²,9 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ",90 tỷ - 225 m2,9,
58 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","6,1 tỷ - 58 m2",3,
45 m²,4 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Trần Khát Chân, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà NộiXem bản đồ","6,9 tỷ - 45 m2",,
49.0998 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,95 tỷ - 49.0.998 m2",4,
45 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","4,75 tỷ - 45 m2",5,
48 m²,4 phòng,,,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà NộiXem bản đồ","5,4 tỷ - 48 m2",,
12 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"hoàng quốc việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","1,8 tỷ - 12 m2",5,
68 m²,4 phòng,5 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","12,3 tỷ - 68 m2",3,
45 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","5,5 tỷ - 45 m2",4,
33 m²,4 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hoàng Ngân, Phường Trung Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","4,85 tỷ - 33 m2",5,
32 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà NộiXem bản đồ","3,6 tỷ - 32 m2",4,
128 m²,4 phòng,,,"Nhà mặt phố, mặt tiền",,,"hàng giấy, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà NộiXem bản đồ",13 tỷ - 128 m2,2,
41 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"PHỐ LƯƠNG NGỌC QUYẾN, Phường Văn Quán, Quận Hà Đông, Hà NộiXem bản đồ","4,85 tỷ - 41 m2",3,
50 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà NộiXem bản đồ","6,3 tỷ - 50 m2",4,
34 m²,3 phòng,4 phòng,Đã có sổ,Nhà phố liền kề,,Nội thất đầy đủ,"Phố An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà NộiXem bản đồ","4,3 tỷ - 34 m2",5,
38 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường La Phù, Xã La Phù, Huyện Hoài Đức, Hà NộiXem bản đồ","2,95 tỷ - 38 m2",4,
46 m²,6 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà NộiXem bản đồ","5,25 tỷ - 46 m2",5,
50 m²,2 phòng,2 phòng,,"Nhà ngõ, hẻm",,Nhà trống,"Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà NộiXem bản đồ","3,75 tỷ - 50 m2",3,
48 m²,3 phòng,,,"Nhà mặt phố, mặt tiền",,,"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà NộiXem bản đồ","3,25 tỷ - 48 m2",,
50 m²,2 phòng,2 phòng,,"Nhà ngõ, hẻm",,Nhà trống,"Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà NộiXem bản đồ","3,75 tỷ - 50 m2",3,
48 m²,3 phòng,,,"Nhà mặt phố, mặt tiền",,,"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà NộiXem bản đồ","3,25 tỷ - 48 m2",,
61 m²,nhiều hơn 10 phòng,,,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","11,9 tỷ - 61 m2",,
30 m²,2 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà NộiXem bản đồ","3,1 tỷ - 30 m2",4,
50 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Phố Yên Lãng, Phường Thịnh Quang, Quận Đống Đa, Hà NộiXem bản đồ","7,5 tỷ - 50 m2",4,Hẻm xe hơi
55 m²,nhiều hơn 10 phòng,,,"Nhà ngõ, hẻm",,,"Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","11,5 tỷ - 55 m2",,
44 m²,7 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hoàng Mai, Phường Tân Mai, Quận Hoàng Mai, Hà NộiXem bản đồ",5 tỷ - 44 m2,,
35 m²,4 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Đường Hữu Hưng, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,1 tỷ - 35 m2",5,
32 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Phố Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà NộiXem bản đồ","3,95 tỷ - 32 m2",5,
32 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà NộiXem bản đồ","5,1 tỷ - 32 m2",4,
30 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà NộiXem bản đồ","3,9 tỷ - 30 m2",5,
35 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà NộiXem bản đồ","5,5 tỷ - 35 m2",5,
35 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà NộiXem bản đồ","3,5 tỷ - 35 m2",,
45 m²,1 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ","6,9 tỷ - 45 m2",,
45 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Phố Nguyễn Lương Bằng, Phường Nam Đồng, Quận Đống Đa, Hà NộiXem bản đồ","4,4 tỷ - 45 m2",,
38 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà NộiXem bản đồ","5,25 tỷ - 38 m2",,
45 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Lĩnh nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà NộiXem bản đồ","3,95 tỷ - 45 m2",5,
45 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","5,4 tỷ - 45 m2",,Nở hậu
10 m²,2 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,," Phố Giải Phóng, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ","1,05 tỷ - 10 m2",,
70 m²,6 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"Lương Văn Can, Phường Nguyễn Trãi, Quận Hà Đông, Hà NộiXem bản đồ","15,168 tỷ - 70 m2",3,
45 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","5,4 tỷ - 45 m2",,Nở hậu
10 m²,2 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,," Phố Giải Phóng, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ","1,05 tỷ - 10 m2",,
70 m²,6 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"Lương Văn Can, Phường Nguyễn Trãi, Quận Hà Đông, Hà NộiXem bản đồ","15,168 tỷ - 70 m2",3,
32 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"trần cung, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","4,2 tỷ - 32 m2",5,
127 m²,5 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nhà trống,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà NộiXem bản đồ",50 tỷ - 127 m2,55,
44 m²,6 phòng,5 phòng,Đã có sổ,Nhà phố liền kề,,Nội thất đầy đủ,"Nguyễn khang, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ",5 tỷ - 44 m2,5,
49 m²,6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường cao tốc Vành đai 3, Phường Yên Sở, Quận Hoàng Mai, Hà NộiXem bản đồ","5,2 tỷ - 49 m2",,
38 m²,6 phòng,,,"Nhà ngõ, hẻm",,,"Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà NộiXem bản đồ","3,9 tỷ - 38 m2",,
41 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","4,42 tỷ - 41 m2",4,
100 m²,nhiều hơn 10 phòng,,,"Nhà ngõ, hẻm",,,"Văn Tiến Dũng, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà NộiXem bản đồ",18 tỷ - 100 m2,,
34 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Bắc,,"Thượng Mạo, Phường Phú Lương, Quận Hà Đông, Hà NộiXem bản đồ","2,6 tỷ - 34 m2",5,
31 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",Nam,Nhà trống,"tổ 4 Quang Lãm, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,5 tỷ - 31 m2",4,
52 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"PHỐ TRIỀU KHÚC, Xã Tân Triều, Huyện Thanh Trì, Hà NộiXem bản đồ","4,8 tỷ - 52 m2",3,Nở hậu
48 m²,5 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","12,5 tỷ - 48 m2",,
35 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà NộiXem bản đồ","3,65 tỷ - 35 m2",,Nở hậu
68 m²,5 phòng,,,"Nhà ngõ, hẻm",,,"Phố Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà NộiXem bản đồ",9 tỷ - 68 m2,7,
80 m²,nhiều hơn 10 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà NộiXem bản đồ","14,5 tỷ - 80 m2",7,
40 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà NộiXem bản đồ","3,9 tỷ - 40 m2",3,
55 m²,4 phòng,,Đã có sổ,Nhà phố liền kề,,Nội thất cao cấp,"Đường Văn Cao, Phường Thụy Khuê, Quận Tây Hồ, Hà NộiXem bản đồ","12,5 tỷ - 55 m2",6,
38 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","4,2 tỷ - 38 m2",5,
55 m²,4 phòng,,Đã có sổ,Nhà phố liền kề,,Nội thất cao cấp,"Đường Văn Cao, Phường Thụy Khuê, Quận Tây Hồ, Hà NộiXem bản đồ","12,5 tỷ - 55 m2",6,
38 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","4,2 tỷ - 38 m2",5,
32 m²,4 phòng,4 phòng,,"Nhà ngõ, hẻm",Đông Nam,,"Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà NộiXem bản đồ","5,2 tỷ - 32 m2",4,
86 m²,6 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà NộiXem bản đồ","10,5 tỷ - 86 m2",4,
47 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","9,5 tỷ - 47 m2",7,
36 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,499 tỷ - 36 m2",5,
36 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Thạch bàn, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ","3,35 tỷ - 36 m2",,
46 m²,6 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà NộiXem bản đồ","6,3 tỷ - 46 m2",5,
28 m²,3 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Nam,,"Bạch Mai, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","2,69 tỷ - 28 m2",4,
36 m²,4 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"Lương khánh thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà NộiXem bản đồ","4,4 tỷ - 36 m2",4,
50 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ",9 tỷ - 50 m2,4,Hẻm xe hơi
38 m²,5 phòng,,,"Nhà ngõ, hẻm",,,"Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà NộiXem bản đồ","3,5 tỷ - 38 m2",,
40 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Xã Đàn, Phường Kim Liên, Quận Đống Đa, Hà NộiXem bản đồ","5,15 tỷ - 40 m2",5,
40 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hào nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","5,6 tỷ - 40 m2",6,
40 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,3 tỷ - 40 m2",4,
62 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"HÀO NAM, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ",7 tỷ - 62 m2,4,
35 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà NộiXem bản đồ","4,68 tỷ - 35 m2",5,
57 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà NộiXem bản đồ","7,45 tỷ - 57 m2",6,
32 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,3 tỷ - 32 m2",5,
38 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","5,25 tỷ - 38 m2",5,
40 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","5,2 tỷ - 40 m2",4,
50 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"10, Phường Cống Vị, Quận Ba Đình, Hà NộiXem bản đồ","7,8 tỷ - 50 m2",,
35 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","5,28 tỷ - 35 m2",,
32.5 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",Đông Nam,,"Phố Gầm Cầu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà NộiXem bản đồ","5,5 tỷ - 32.5 m2",3,
41 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà NộiXem bản đồ","7,8 tỷ - 41 m2",6,
230 m²,5 phòng,5 phòng,Đã có sổ,Nhà biệt thự,Tây,,"Phố Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà NộiXem bản đồ",33 tỷ - 230 m2,4,
80 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ","13,5 tỷ - 80 m2",5,Hẻm xe hơi
95 m²,6 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Trần Quý Kiên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ",30 tỷ - 95 m2,7,Hẻm xe hơi
40 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Thuỵ Khuê, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","4,6 tỷ - 40 m2",3,
63 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà NộiXem bản đồ","8,8 tỷ - 63 m2",4,
50 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Phan Đình Phùng, Phường Quán Thánh, Quận Ba Đình, Hà NộiXem bản đồ","11,5 tỷ - 50 m2",4,
50 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà NộiXem bản đồ","6,45 tỷ - 50 m2",4,
45 m²,6 phòng,6 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Phố Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Hà NộiXem bản đồ","18,5 tỷ - 45 m2",6,
34 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,82 tỷ - 34 m2",4,
60 m²,6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ","4,85 tỷ - 60 m2",,Nở hậu
48 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","5,9 tỷ - 48 m2",4,
100 m²,10 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Phố Huế, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà NộiXem bản đồ",47 tỷ - 100 m2,6,
80 m²,6 phòng,,,"Nhà ngõ, hẻm",,,"Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","7,3 tỷ - 80 m2",,
35 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà NộiXem bản đồ","4,4 tỷ - 35 m2",4,
80 m²,6 phòng,,,"Nhà ngõ, hẻm",,,"Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","6,95 tỷ - 80 m2",,
32 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"QL6, Phường Biên Giang, Quận Hà Đông, Hà NộiXem bản đồ","1,8 tỷ - 32 m2",4,
32 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Xốm, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ",3 tỷ - 32 m2,4,
41 m²,5 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,1 tỷ - 41 m2",4,
32 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Xốm, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,5 tỷ - 32 m2",4,
135 m²,10 phòng,,Đã có sổ,Nhà biệt thự,,Nội thất cao cấp,"Khu Biệt Thự An Sinh, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà NộiXem bản đồ",35 tỷ - 135 m2,,
32 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Minh Khai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,38 tỷ - 32 m2",4,
88 m²,2 phòng,2 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Thanh Đam , Phường Thanh Trì, Quận Hoàng Mai, Hà NộiXem bản đồ","11,8 tỷ - 88 m2",,
35 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Xốm, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,55 tỷ - 35 m2",5,
32 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Quốc lộ 21B, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,55 tỷ - 32 m2",5,
35 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","2,85 tỷ - 35 m2",4,
42 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà NộiXem bản đồ","4,5 tỷ - 42 m2",4,
44 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà NộiXem bản đồ","6,1 tỷ - 44 m2",4,
32 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"QL6, Phường Biên Giang, Quận Hà Đông, Hà NộiXem bản đồ","2,05 tỷ - 32 m2",4,
35 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Quốc lộ 21B, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,85 tỷ - 35 m2",4,
35 m²,4 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Đường Đại Cát, Phường Liên Mạc, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","2,3 tỷ - 35 m2",4,
